epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1377.2,0.00922,1.24868,1.18675,0.68732,0.76348,0.79552,0.45619,0.01004,1.19752,1.27215,0.000102185,0.000102185,0.000102185
43,1410.23,0.00919,1.24956,1.16754,0.6461,0.78378,0.78728,0.44801,0.0102,1.19366,1.26626,0.000100482,0.000100482,0.000100482
44,1441.21,0.00895,1.19352,1.15244,0.6635,0.78562,0.79378,0.48702,0.00951,1.15229,1.21291,9.87796e-05,9.87796e-05,9.87796e-05
45,1472.32,0.00904,1.21043,1.17144,0.71173,0.80903,0.8276,0.51422,0.00928,1.07928,1.19201,9.70768e-05,9.70768e-05,9.70768e-05
46,1505.22,0.00904,1.17648,1.15411,0.67918,0.71826,0.77047,0.48896,0.00911,1.22446,1.15707,9.5374e-05,9.5374e-05,9.5374e-05
47,1538.42,0.00898,1.1713,1.15581,0.67337,0.78118,0.79336,0.48762,0.00947,1.13109,1.20194,9.36712e-05,9.36712e-05,9.36712e-05
48,1569.55,0.00928,1.17685,1.1711,0.70891,0.80763,0.83358,0.49739,0.0097,1.08753,1.23244,9.19684e-05,9.19684e-05,9.19684e-05
49,1601.13,0.0091,1.1774,1.14245,0.71431,0.76182,0.8218,0.46701,0.00995,1.11295,1.25887,9.02656e-05,9.02656e-05,9.02656e-05
50,1633.88,0.00898,1.1581,1.14946,0.74497,0.74024,0.8274,0.46608,0.01001,1.08488,1.27573,8.85628e-05,8.85628e-05,8.85628e-05
51,1667.09,0.00882,1.16534,1.14166,0.65964,0.81003,0.80983,0.47446,0.00966,1.11293,1.23441,8.686e-05,8.686e-05,8.686e-05
52,1698.48,0.00896,1.1591,1.16202,0.67707,0.81606,0.82364,0.51363,0.00922,1.06122,1.17913,8.51572e-05,8.51572e-05,8.51572e-05
53,1729.87,0.00887,1.11376,1.13374,0.69917,0.78646,0.81356,0.51423,0.00913,1.08088,1.16877,8.34544e-05,8.34544e-05,8.34544e-05
54,1762.87,0.00893,1.13229,1.15237,0.72637,0.78896,0.84111,0.51341,0.00942,1.06674,1.18777,8.17516e-05,8.17516e-05,8.17516e-05
55,1795.84,0.00901,1.0701,1.16974,0.72085,0.76203,0.82044,0.50102,0.00946,1.09606,1.19679,8.00488e-05,8.00488e-05,8.00488e-05
56,1827.8,0.0089,1.10295,1.13137,0.69238,0.76658,0.81669,0.49346,0.00948,1.08104,1.21654,7.8346e-05,7.8346e-05,7.8346e-05
57,1858.96,0.00885,1.0932,1.13749,0.66782,0.81112,0.81596,0.4965,0.00938,1.07079,1.19608,7.66432e-05,7.66432e-05,7.66432e-05
58,1891.77,0.00878,1.03867,1.16026,0.6596,0.85181,0.82048,0.5105,0.00921,1.05164,1.17767,7.49404e-05,7.49404e-05,7.49404e-05
59,1924.56,0.00878,1.05032,1.13969,0.66232,0.85874,0.83871,0.52225,0.00913,1.04868,1.16859,7.32376e-05,7.32376e-05,7.32376e-05
60,1957.64,0.00896,1.0809,1.14584,0.71199,0.82616,0.8417,0.51953,0.00933,1.01888,1.20287,7.15348e-05,7.15348e-05,7.15348e-05
61,1988.05,0.00869,1.02462,1.14032,0.70924,0.77247,0.81264,0.51166,0.00922,1.08597,1.18339,6.9832e-05,6.9832e-05,6.9832e-05
62,2020.21,0.00897,1.05744,1.15471,0.71812,0.8151,0.83259,0.51616,0.00939,1.05614,1.18897,6.81292e-05,6.81292e-05,6.81292e-05
63,2053.32,0.00872,1.02053,1.14012,0.69343,0.83388,0.82642,0.49125,0.00976,1.05163,1.23456,6.64264e-05,6.64264e-05,6.64264e-05
64,2085.93,0.00876,1.05904,1.14275,0.68272,0.83706,0.82659,0.51157,0.00926,1.03762,1.19711,6.47236e-05,6.47236e-05,6.47236e-05
65,2116.5,0.00867,0.99481,1.162,0.68886,0.83821,0.82923,0.50838,0.00929,1.02599,1.18974,6.30208e-05,6.30208e-05,6.30208e-05
66,2148.8,0.00887,1.01175,1.12871,0.708,0.81456,0.82734,0.50582,0.0095,1.03082,1.19926,6.1318e-05,6.1318e-05,6.1318e-05
67,2181.93,0.00876,1.0015,1.12857,0.70942,0.81358,0.82229,0.50849,0.00937,1.07619,1.19638,5.96152e-05,5.96152e-05,5.96152e-05
68,2214.74,0.00867,1.02616,1.13115,0.70271,0.81472,0.82979,0.52524,0.00899,1.00769,1.16332,5.79124e-05,5.79124e-05,5.79124e-05
69,2245.25,0.0086,0.94193,1.12342,0.71715,0.84758,0.83501,0.51901,0.00925,1.03665,1.1862,5.62096e-05,5.62096e-05,5.62096e-05
